Subj,CRS,Title,Cmp,Sctn,Days,Start Time,End Time,Mtg Start Date,Mtg End Date,Duration,Instruction Mode,Building,Room,Instr,Enrl Cap,Wait Cap,Cmbnd Descr,Cmbnd Enrl Cap
CSE,101,Introduction to Computers,LEC,1,MWF,11:00 AM,11:53 AM,25-Jan-21,19-May-21,53,In Person,TBA,TBA,Kevin McDonnell,210,70,,
CSE,101,Introduction to Computers,LAB,L01,M,12:00 PM,12:53 PM,25-Jan-21,19-May-21,53,In Person,COMPUTER SCI,2114,Kevin McDonnell,30,10, , 
CSE,101,Introduction to Computers,LAB,L02,M,1:00 PM,1:53 PM,25-Jan-21,19-May-21,53,In Person,COMPUTER SCI,2114,Kevin McDonnell,30,10, , 
CSE,101,Introduction to Computers,LAB,L03,TU,4:00 PM,4:53 PM,25-Jan-21,19-May-21,53,In Person,COMPUTER SCI,2114,Kevin McDonnell,30,10, , 
CSE,101,Introduction to Computers,LAB,L04,TU,5:30 PM,6:23 PM,25-Jan-21,19-May-21,53,In Person,COMPUTER SCI,2114,Kevin McDonnell,30,10, , 
CSE,101,Introduction to Computers,LAB,L05,W,12:00 PM,12:53 PM,25-Jan-21,19-May-21,53,In Person,COMPUTER SCI,2114,Kevin McDonnell,30,10, , 
CSE,101,Introduction to Computers,LAB,L06,W,4:00 PM,4:53 PM,25-Jan-21,19-May-21,53,In Person,COMPUTER SCI,2114,Kevin McDonnell,30,10, , 
CSE,101,Introduction to Computers,LAB,L07,TH,4:00 PM,4:53 PM,25-Jan-21,19-May-21,53,In Person,COMPUTER SCI,2114,Kevin McDonnell,30,10, , 
CSE,114,Introduction to Object-Oriented Programming,LEC,1,TUTH,4:00 PM,5:20 PM,25-Jan-21,19-May-21,80,In Person,TBA,TBA,Paul Fodor,120,44, , 
CSE,114,Introduction to Object-Oriented Programming,LAB,L01,MW,7:00 PM,8:20 PM,25-Jan-21,19-May-21,80,In Person,COMPUTER SCI,2116,Paul Fodor,30,11, , 
CSE,114,Introduction to Object-Oriented Programming,LAB,L02,TUTH,8:30 AM,9:50 AM,25-Jan-21,19-May-21,80,In Person,COMPUTER SCI,2116,Paul Fodor,30,11, , 
CSE,114,Introduction to Object-Oriented Programming,LAB,L03,TUTH,10:00 AM,11:20 AM,25-Jan-21,19-May-21,80,In Person,COMPUTER SCI,2116,Paul Fodor,30,11, , 
CSE,114,Introduction to Object-Oriented Programming,LAB,L04,TUTH,5:30 PM,6:50 PM,25-Jan-21,19-May-21,80,In Person,COMPUTER SCI,2116,Paul Fodor,30,11, , 
CSE,114,Introduction to Object-Oriented Programming,LEC,2,TUTH,11:30 AM,12:50 PM,25-Jan-21,19-May-21,80,In Person,TBA,TBA,Praveen Tripathi,120,33, , 
CSE,114,Introduction to Object-Oriented Programming,LAB,L07,MW,8:30 AM,9:50 AM,25-Jan-21,19-May-21,80,In Person,COMPUTER SCI,2116,Praveen Tripathi,30,11, , 
CSE,114,Introduction to Object-Oriented Programming,LAB,L08,MW,10:00 AM,11:20 AM,25-Jan-21,19-May-21,80,In Person,COMPUTER SCI,2116,Praveen Tripathi,30,11, , 
CSE,114,Introduction to Object-Oriented Programming,LAB,L09,MW,11:30 AM,12:50 PM,25-Jan-21,19-May-21,80,In Person,COMPUTER SCI,2116,Praveen Tripathi,30,11, , 
CSE,114,Introduction to Object-Oriented Programming,LAB,L10,MW,2:30 PM,3:50 PM,25-Jan-21,19-May-21,80,In Person,COMPUTER SCI,2116,Praveen Tripathi,30,0, , 
CSE,160,Computer Science A: Honors,LEC,1,MW,5:30 PM,6:50 PM,25-Jan-21,19-May-21,80,In Person,TBA,TBA,Paul Fodor,50,0, , 
CSE,161,Computer Science A: Honors Labs,LAB,L01,MW,7:00 PM,8:20 PM,25-Jan-21,19-May-21,80,In Person,COMPUTER SCI,2129,Paul Fodor,35,0, , 
CSE,214,Data Structures,LEC,1,TUTH,8:30 AM,9:50 AM,25-Jan-21,19-May-21,80,In Person,TBA,TBA,Ahmad Esmaili,120,30, , 
CSE,214,Data Structures,REC,R01,RETH,10:00 AM,10:53 AM,25-Jan-21,19-May-21,53,In Person,COMPUTER SCI,2129,Ahmad Esmaili,30,5, , 
CSE,214,Data Structures,REC,R02,RETU,10:00 AM,10:53 AM,25-Jan-21,19-May-21,53,In Person,COMPUTER SCI,2129,Ahmad Esmaili,30,5, , 
CSE,214,Data Structures,REC,R03,RETU,4:00 PM,4:53 PM,25-Jan-21,19-May-21,53,In Person,COMPUTER SCI,2129,Ahmad Esmaili,30,5, , 
CSE,214,Data Structures,REC,R04,RETH,4:00 PM,4:53 PM,25-Jan-21,19-May-21,53,In Person,COMPUTER SCI,2129,Ahmad Esmaili,30,5, , 
CSE,214,Data Structures,LEC,2,MWF,11:00 AM,11:53 AM,25-Jan-21,19-May-21,53,In Person,TBA,TBA,Pramod Ganapathi,120,0, , 
CSE,214,Data Structures,REC,R06,RECF,2:30 PM,3:23 PM,25-Jan-21,19-May-21,53,In Person,COMPUTER SCI,2114,Pramod Ganapathi,0,0, , 
